"gene"	"freq_DE"	"freq_lasso"
"1"	"ABAT"	100	0
"2"	"ABCB4"	100	0
"3"	"ABCG1"	81	1
"4"	"ABLIM1"	100	0
"5"	"ACSL4"	31	0
"6"	"ACSM3"	100	0
"7"	"ACTA2"	100	90
"8"	"ADAM19"	100	0
"9"	"ADGRA2"	100	94
"10"	"ADTRP"	100	0
"11"	"AFDN"	100	0
"12"	"AFF3"	100	0
"13"	"AHR"	99	14
"14"	"AHSP"	92	0
"15"	"AIM2"	100	0
"16"	"AK2"	100	3
"17"	"AK4"	100	30
"18"	"AKAP12"	100	1
"19"	"AKR1C3"	100	0
"20"	"ALCAM"	100	4
"21"	"ALOX5"	100	0
"22"	"AMIGO2"	100	0
"23"	"ANGPT1"	100	41
"24"	"ANK3"	99	0
"25"	"ANKH"	100	0
"26"	"ANKRD28"	100	94
"27"	"ANXA1"	100	0
"28"	"APLP2"	100	0
"29"	"APOBEC3G"	100	1
"30"	"APOC4-APOC2"	100	100
"31"	"APOL3"	100	0
"32"	"APP"	51	0
"33"	"ARAP2"	100	41
"34"	"AREG"	100	0
"35"	"ARHGEF40"	100	0
"36"	"ARID5B"	100	0
"37"	"ARL4A"	100	91
"38"	"ARL4C"	100	0
"39"	"ARMCX2"	100	22
"40"	"ASPH"	100	6
"41"	"ATF3"	100	0
"42"	"ATM"	100	0
"43"	"ATP1B1"	100	7
"44"	"ATP8B2"	100	0
"45"	"ATP8B4"	100	0
"46"	"AUTS2"	100	0
"47"	"AZU1"	100	0
"48"	"B3GALNT1"	100	2
"49"	"B3GNTL1"	100	0
"50"	"BACH2"	100	0
"51"	"BAHCC1"	83	0
"52"	"BANK1"	100	0
"53"	"BCAS4"	100	1
"54"	"BCL11B"	100	0
"55"	"BCL2"	100	0
"56"	"BEX1"	100	0
"57"	"BIN1"	100	0
"58"	"BLK"	100	9
"59"	"BLNK"	100	0
"60"	"BMPR2"	88	0
"61"	"BSG"	100	68
"62"	"BTN3A1"	100	0
"63"	"BTN3A2"	100	0
"64"	"BTN3A3"	100	0
"65"	"BZW2"	55	8
"66"	"C12orf49"	100	0
"67"	"CA1"	100	0
"68"	"CA2"	100	0
"69"	"CALM1"	100	0
"70"	"CALR"	100	4
"71"	"CAMK1D"	100	0
"72"	"CAMK4"	100	0
"73"	"CARD9"	100	0
"74"	"CASK"	100	0
"75"	"CAT"	100	0
"76"	"CBLB"	100	0
"77"	"CBX7"	100	0
"78"	"CCL23"	100	0
"79"	"CCL3"	100	2
"80"	"CCNA1"	100	0
"81"	"CCNB1"	99	0
"82"	"CCNB2"	100	0
"83"	"CCR6"	100	0
"84"	"CCR7"	100	0
"85"	"CCSER2"	100	0
"86"	"CD160"	100	0
"87"	"CD19"	100	10
"88"	"CD2"	100	0
"89"	"CD22"	100	0
"90"	"CD24"	100	0
"91"	"CD247"	100	0
"92"	"CD27"	100	0
"93"	"CD28"	100	0
"94"	"CD33"	100	0
"95"	"CD34"	100	0
"96"	"CD3D"	100	0
"97"	"CD3E"	100	0
"98"	"CD3G"	100	0
"99"	"CD48"	100	0
"100"	"CD5"	100	0
"101"	"CD52"	100	0
"102"	"CD6"	100	0
"103"	"CD72"	100	0
"104"	"CD79A"	100	0
"105"	"CD79B"	100	0
"106"	"CD8A"	100	0
"107"	"CD8B"	100	0
